shutter_time,counts
0.00847247,98
0.0084836,91
0.00849473,94
0.00850587,99
0.008517,94
0.00852813,95
0.00853927,94
0.0085504,93
0.00856153,94
0.00857267,97
0.0085838,105
0.00859493,94
0.00860607,87
0.0086172,69
0.00862833,88
0.00863947,77
0.0086506,91
0.00866173,110
0.00867287,78
0.008684,85
0.00869513,94
0.00870627,100
0.0087174,91
0.00872853,103
0.00873967,89
0.0087508,87
0.00876193,78
0.00877307,83
0.0087842,108
0.00879533,95
0.00880647,90
0.0088176,88
0.00882873,86
0.00883987,72
0.008851,68
0.00886213,98
0.00887327,92
0.0088844,98
0.00889553,79
0.00890667,74
0.0089178,88
0.00892893,93
0.00894007,83
0.0089512,82
0.00896233,79
0.00897347,78
0.0089846,87
0.00899573,82
0.00900687,82
0.009018,62
0.00902913,72
0.00904027,74
0.0090514,65
0.00906253,75
0.00907367,78
0.0090848,72
0.00909593,54
0.00910707,54
0.0091182,90
0.00912933,92
0.00914047,75
0.0091516,84
0.00916273,79
0.00917387,74
0.009185,73
0.00919613,73
0.00920727,70
0.0092184,61
0.00922953,72
0.00924067,51
0.0092518,64
0.00926293,72
0.00927407,64
0.0092852,83
0.00929633,63
0.00930747,80
0.0093186,73
0.00932973,68
0.00934087,75
0.009352,63
0.00936313,67
0.00937427,54
0.0093854,51
0.00939653,67
0.00940767,57
0.0094188,62
0.00942993,66
0.00944107,59
0.0094522,63
0.00946333,57
0.00947447,65
0.0094856,60
0.00949673,68
0.00950787,62
0.009519,65
0.00953013,52
0.00954127,59
0.0095524,70
0.00956353,68
0.00957467,64
0.0095858,68
0.00959693,50
0.00960807,59
0.0096192,66
0.00963033,39
0.00964147,49
0.0096526,60
0.00966373,57
0.00967487,57
0.009686,75
0.00969713,78
0.00970827,80
0.0097194,79
0.00973053,61
0.00974167,62
0.0097528,64
0.00976393,51
0.00977507,55
0.0097862,72
0.00979733,72
0.00980847,62
0.0098196,72
0.00983073,60
0.00984187,58
0.009853,52
0.00986413,73
0.00987527,52
0.0098864,65
0.00989753,63
0.00990867,41
0.0099198,50
0.00993093,71
0.00994207,61
0.0099532,41
0.00996433,62
0.00997547,53
0.0099866,69
0.00999773,61
0.0100089,39
0.01002,57
0.0100311,58
0.0100423,55
0.0100534,56
0.0100645,47
0.0100757,55
0.0100868,59
0.0100979,49
0.0101091,52
0.0101202,55
0.0101313,52
0.0101425,49
0.0101536,61
0.0101647,59
0.0101759,52
0.010187,43
0.0101981,40
0.0102093,53
0.0102204,38
0.0102315,63
0.0102427,62
0.0102538,47
0.0102649,44
0.0102761,50
0.0102872,66
0.0102983,47
0.0103095,37
0.0103206,45
0.0103317,48
0.0103429,38
0.010354,40
0.0103651,48
0.0103763,50
0.0103874,59
0.0103985,28
0.0104097,42
0.0104208,47
0.0104319,53
0.0104431,46
0.0104542,50
0.0104653,46
0.0104765,62
0.0104876,45
0.0104987,46
0.0105099,33
0.010521,59
0.0105321,50
0.0105433,47
0.0105544,39
0.0105655,46
0.0105767,42
0.0105878,42
0.0105989,51
0.0106101,52
0.0106212,40
0.0106323,62
0.0106435,49
0.0106546,49
0.0106657,34
0.0106769,46
0.010688,41
0.0106991,46
0.0107103,46
0.0107214,49
0.0107325,50
0.0107437,43
0.0107548,35
0.0107659,49
0.0107771,34
0.0107882,37
0.0107993,47
0.0108105,37
0.0108216,31
0.0108327,48
0.0108439,33
0.010855,55
0.0108661,50
0.0108773,38
0.0108884,44
0.0108995,38
0.0109107,60
0.0109218,39
0.0109329,40
0.0109441,44
0.0109552,39
0.0109663,44
0.0109775,45
0.0109886,37
0.0109997,56
0.0110109,49
0.011022,44
0.0110331,31
0.0110443,26
0.0110554,40
0.0110665,31
0.0110777,34
0.0110888,45
0.0110999,37
0.0111111,43
0.0111222,36
0.0111333,30
0.0111445,45
0.0111556,49
0.0111667,33
0.0111779,27
0.011189,30
0.0112001,32
0.0112113,39
0.0112224,45
0.0112335,39
0.0112447,44
0.0112558,39
0.0112669,29
0.0112781,50
0.0112892,46
0.0113003,32
0.0113115,44
0.0113226,39
0.0113337,35
0.0113449,40
0.011356,28
0.0113671,43
0.0113783,36
0.0113894,43
0.0114005,38
0.0114117,31
0.0114228,57
0.0114339,30
0.0114451,45
0.0114562,34
0.0114673,36
0.0114785,35
0.0114896,43
0.0115007,44
0.0115119,27
0.011523,55
0.0115341,36
0.0115453,38
0.0115564,40
