TOF(ms)	Counts
16.404823	145
16.414829	144
16.424835	116
16.434841	112
16.444847	129
16.454853	108
16.464859	135
16.474865	122
16.484871	126
16.494877	125
16.504883	141
16.514889	136
16.524895	124
16.534901	131
16.544907	106
16.554913	117
16.564919	142
16.574925	134
16.584931	119
16.594937	129
16.604943	155
16.614949	113
16.624955	154
16.634961	121
16.644967	62
16.654973	4
16.664979	0
16.674985	0
16.684991	0
16.694997	0
